ID;Ano;INDE
496;2020;8.69
499;2020;8.31
502;2020;8.18
503;2020;7.23
507;2020;8.01
513;2020;8.73
520;2020;8.17
521;2020;8.65
522;2020;7.5
524;2020;8.36
527;2020;7.9
541;2020;9.1
544;2020;6.71
546;2020;4.93
557;2020;7.7
560;2020;6.86
561;2020;6.01
562;2020;8.36
569;2020;9.23
574;2020;7.64
579;2020;7.84
583;2020;7.42
585;2020;6.52
586;2020;7.98
588;2020;8.66
594;2020;7.97
602;2020;6.2
603;2020;6.07
608;2020;7.58
613;2020;6.56
615;2020;9.62
622;2020;6.49
624;2020;5.23
634;2020;6.15
638;2020;6.91
642;2020;8.0
644;2020;8.63
645;2020;8.6
647;2020;7.2
657;2020;8.78
663;2020;7.38
664;2020;9.22
668;2020;7.73
681;2020;5.65
686;2020;7.77
689;2020;7.78
693;2020;8.25
695;2020;8.63
700;2020;6.97
703;2020;8.34
707;2020;7.79
708;2020;8.0
710;2020;8.43
721;2020;5.66
732;2020;7.85
737;2020;8.07
738;2020;7.46
739;2020;8.7
743;2020;7.99
746;2020;8.89
747;2020;8.15
753;2020;6.49
755;2020;7.74
757;2020;6.24
760;2020;8.64
766;2020;6.82
768;2020;7.73
773;2020;7.85
783;2020;7.0
790;2020;9.2
792;2020;7.78
794;2020;8.28
796;2020;8.62
807;2020;8.09
811;2020;8.2
814;2020;6.86
817;2020;8.34
820;2020;8.33
823;2020;8.45
824;2020;7.75
825;2020;5.73
828;2020;7.5
829;2020;6.51
830;2020;9.1
831;2020;7.89
835;2020;5.03
840;2020;7.49
848;2020;7.43
850;2020;8.19
851;2020;7.65
855;2020;7.36
858;2020;8.59
861;2020;8.08
862;2020;8.35
866;2020;8.56
872;2020;7.0
877;2020;7.54
886;2020;8.72
889;2020;7.63
902;2020;7.72
903;2020;8.89
909;2020;6.24
910;2020;4.33
911;2020;6.6
916;2020;8.51
919;2020;7.13
922;2020;7.29
923;2020;7.4
926;2020;7.65
927;2020;8.54
930;2020;8.37
931;2020;8.23
932;2020;7.53
937;2020;8.43
944;2020;5.51
948;2020;7.36
957;2020;7.67
958;2020;8.43
961;2020;8.66
964;2020;8.03
983;2020;7.79
984;2020;5.31
989;2020;7.89
991;2020;6.8
993;2020;7.53
994;2020;8.68
996;2020;7.74
997;2020;8.98
1002;2020;8.11
1004;2020;7.68
1010;2020;8.58
1014;2020;6.96
1015;2020;8.05
1017;2020;8.47
1022;2020;8.78
1028;2020;7.73
1029;2020;8.35
1031;2020;9.17
1034;2020;7.75
1051;2020;6.25
1067;2020;8.31
1070;2020;7.63
1072;2020;8.19
1075;2020;8.8
1078;2020;7.8
1084;2020;8.31
1085;2020;6.21
1090;2020;6.61
1093;2020;7.3
1095;2020;9.12
1103;2020;6.39
1105;2020;7.65
1110;2020;7.85
1123;2020;8.27
1127;2020;7.36
1128;2020;8.23
1130;2020;8.79
1136;2020;7.74
1141;2020;6.98
1150;2020;8.67
1156;2020;8.28
1159;2020;8.55
1161;2020;6.22
1165;2020;8.08
1167;2020;7.63
1168;2020;8.04
1170;2020;8.18
1171;2020;8.93
1174;2020;7.39
1176;2020;8.23
1181;2020;7.75
1190;2020;8.1
1191;2020;6.83
1195;2020;8.15
1215;2020;8.7
1217;2020;8.44
1219;2020;7.97
1223;2020;8.35
1226;2020;8.13
1230;2020;7.57
1231;2020;6.0
1237;2020;6.99
1244;2020;8.74
1248;2020;8.44
1250;2020;6.48
1251;2020;7.61
1260;2020;7.98
1264;2020;8.11
1275;2020;8.72
1278;2020;7.32
1285;2020;8.61
1287;2020;7.17
1289;2020;6.12
1292;2020;8.95
1298;2020;8.55
1319;2020;7.9
1323;2020;8.05
1324;2020;8.0
1338;2020;8.33
1343;2020;5.84
1348;2020;7.84
5;2021;7.4
8;2021;8.27
11;2021;8.99
17;2021;6.14
18;2021;5.67
34;2021;6.13
36;2021;6.25
37;2021;6.15
46;2021;8.47
51;2021;8.05
60;2021;6.96
61;2021;3.02
75;2021;9.11
76;2021;8.87
78;2021;6.34
81;2021;6.19
83;2021;5.99
84;2021;7.87
85;2021;6.65
87;2021;8.0
88;2021;8.1
90;2021;5.99
91;2021;4.2
97;2021;6.32
100;2021;3.12
102;2021;6.7
